Product Page,Category,Product Name,Price (£),Condition,Description,images
Course,Reels,NGT Profiler CR60 - 5+1 Carp Runner Reel,25.00,New,The Profiler CR60 reel is an ultra-lightweight carp runner reel that is ideal for both anglers on the go or for longer sessions. With an all-black finish an aluminium honeycomb spool and with 5+1BBs this reel would be a valued addition to any carp angler's tackle.,https://cdn.ecommercedns.uk/files/2/256242/2/49272512/frl-profiler-cr60-1000x1000.jpg
Course,Reels,NGT Profiler 60,25.00,New,5+1BB Lightweight Front Drag Reel with Spare Spool,https://cdn.ecommercedns.uk/files/2/256242/1/32045681/29221075847-frl-profiler60-image1.jpg
Course,Reels,NGT XPR 4000,16.00,New,10BB Carp Runner Reel with Spare Spool,https://cdn.ecommercedns.uk/files/2/256242/6/32045716/29221075847-frl-xpr-4000-image1.jpg
Course,Reels,NGT XT-8000 Big Pit - 5+1BB Lightweight Quick Drag Reel,39.99,New,"The XT8000 Big Pit Rapid Front drag reel comes with a 5+1 ball bearing system high strength nylon body and rotor. The reel also features a robust and durable drag system perfect for those who like to fish for big carp",https://cdn.ecommercedns.uk/files/2/256242/8/43343488/frl-bigpit-xt-8000-0007-1000x1000.jpg
Course,Terminal Tackle (Floats),Middy Stillwater Selection Float Tube (9 floats),10.00,New,"Nine various Middy UK-made floats. Includes crystals stepped waggler drift combatters cockers and canal greys. Free mini float adaptors and protective tube included",https://cdn.ecommercedns.uk/files/2/256242/2/38861822/2052.jpg
Course,Terminal Tackle (Weights),Dinsmore Drop Shotting Weights 8g,3.99,New,Non Toxic Camo Weighted. Available in 6 sizes 3g-20g,https://cdn.ecommercedns.uk/files/2/256242/9/35869559/ds8gm.jpg
Course,Terminal Tackle (Hooks),16s Animal Eyed Barbed,2.29,New,Animal Eyed Barbed,https://cdn.ecommercedns.uk/files/2/256242/0/35527950/animal-eyed-barbed.jpg
Course,Terminal Tackle (Hooks),8s Animal Eyed Barbed,2.29,New,Animal Eyed Barbed,https://cdn.ecommercedns.uk/files/2/256242/0/35527950/animal-eyed-barbed.jpg
Course,Terminal Tackle (Hooks),12s Animal Eyed Barbed,2.29,New,Animal Eyed Barbed,https://cdn.ecommercedns.uk/files/2/256242/0/35527950/animal-eyed-barbed.jpg
Course,Terminal Tackle (Hooks),14s Animal Eyed Barbed,2.29,New,Animal Eyed Barbed,https://cdn.ecommercedns.uk/files/2/256242/0/35527950/animal-eyed-barbed.jpg
Course,Terminal Tackle (Hooks),16s Animal Eyed Barbless,2.29,New,Animal Eyed Barbless,https://cdn.ecommercedns.uk/files/2/256242/1/35527991/animal-eyed-barbless.jpg
